message,label
That party was lit! Got any pics?,ham
Get the edge. Elite sports gear at massive discounts.,spam
Bring joy. Toy mega sale this weekend.,spam
Your recent sketches? Mind-blown!,ham
Remember our secret spot? Meet you there?,ham
Plan your escape. Mystery travel deals await.,spam
Elite investors share secrets. Limited slots.,spam
Triple your savings! Exclusive financial advice inside.,spam
Let's do a workout challenge this month.,ham
🎉 Exclusive entry to celeb events. Get your pass.,spam
Notice! Your email won $1M. Confirm your details.,spam
Witness magic. Illusion show tickets on sale.,spam
How did the interview go? Fingers crossed for you!,ham
Click now! Surprise gift inside.,spam
Saw an adorable pup. Thought of getting one. Opinions?,ham
Guess who got a puppy? Name suggestions?,ham
Need a loan? Instant approval. No paperwork.,spam
"Yo, what's good? Long time no chat.",ham
"Hey, long time no chat! You free this weekend?",ham
"Lol, remember that trip last summer? Good times.",ham
How was the interview? Feeling good about it?,ham
Wanna join for the farmer’s market tomorrow?,ham
Get rid of debt in just 30 days! Click to learn more.,spam
How's your new job? Hope it's going well.,ham
Can't believe that new song. On repeat!,ham
Yo! That movie was insane! Sequel?,ham
The baby's asleep. Let's catch up?,ham
"Hey, quick question. Know any good car mechanics?",ham
Don't pay more! Exclusive discounts on utilities.,spam
How was your trekking trip? Pics?,ham
Fancy a spa day? Groupon deals!,ham
How was the concert last night?,ham
Planning a game night. Old school board games?,ham
How's the new hobby coming along?,ham
Missed the last bus. Can you pick me up?,ham
Get a free trial of our award-winning app.,spam
Meeting up for our annual picnic? Date suggestions?,ham
Ultimate health solution. Revolutionary detox inside.,spam
How was the trip? Share stories soon!,ham
Earn while you sleep! Proven passive income system.,spam
Are you coming to the party tonight?,ham
You still borrowing my guitar this weekend?,ham
Give wings to your dreams. Scholarships available.,spam
That boutique sale ends today. Don't miss out!,ham
"Man, I miss our jam sessions.",ham
Blast away belly fat with our patented formula.,spam
Claim your free tech gadget now. Limited offer!,spam
Boost your brain power! Genius pills inside.,spam
"Buy now, pay later. Exclusive credit offer.",spam
Your photos got us intrigued. Want to collaborate?,spam
Join the health revolution. Organic superfoods inside.,spam
Celebrity style at a fraction of the price. Shop now.,spam
Step up your fashion game. Flash sale tonight!,spam
Increase your IQ. Brain training software inside.,spam
That board game you mentioned? Let's play!,ham
"Man, rough day. Need some cheering up.",ham
Guess who's back in town? Hint: starts with a 'T'.,ham
Unlock the secrets of the universe. Free cosmic guide inside.,spam
I'm sorry for last night. Can we talk?,ham
"Lol, remember our high school shenanigans? Good times!",ham
Discover the secret to winning the lottery!,spam
Need cash? Try our easy pawn service. No questions asked.,spam
Secure your dream job! Sign up for our exclusive course.,spam
Cherish luxury. Handmade jewelry at slashed prices.,spam
Met someone interesting at the event. Spill the beans soon.,ham
Step into luxury. Designer brands at throwaway prices.,spam
My son's first soccer match tomorrow. Join us?,ham
Hosting a potluck. Your famous pasta?,ham
Unlock your future! Free palm reading inside.,spam
Enjoy 5-star luxury at 2-star prices! Exclusive deals.,spam
The new gym? How's your experience?,ham
Need a loan? Fast approval and zero documentation.,spam
Unlock premium content. Exclusive offer inside.,spam
Trying a new recipe. Care to join for dinner?,ham
Let's do a virtual game night. Up for it?,ham
Unlock your psychic potential. Free reading inside.,spam
The book you gave was fantastic! Thanks.,ham
Still owe you for dinner. Venmo or cash?,ham
Want to earn from your couch? Click now.,spam
"Random, but do you still have my book?",ham
Luxury at your fingertips. Private jet deals.,spam
The cake's in the fridge. Don't eat it all!,ham
Unlock serenity. Himalayan retreat packages inside.,spam
Easy loan approval. No credit check. Apply now.,spam
Instant loan approval. Low-interest rates!,spam
Rise and shine! Join our millionaire morning club.,spam
Bored at home? Unlock 1000+ games.,spam
Got a flat tire. Running a bit late.,ham
Massive sale downtown. Shopping trip?,ham
Flawless skin is a click away. Avail our skincare regime.,spam
How's the new gig? Catch up soon?,ham
Ready to meet your soulmate? Join our dating site.,spam
Celebrate and win! Spin the wheel for a surprise.,spam
"Btw, mom's asking about you. Come over soon?",ham
Want to be on TV? Auditions in your city now.,spam
"Idk what I'd do without coffee. Mondays, am I right?",ham
You won't believe the drama. Let's chat later.,ham
Got the tickets! You owe me dinner.,ham
Let's go old school. Board games at my place?,ham
Never pay for utilities again! Learn this simple hack.,spam
"Ugh, totally bombed that presentation today. 😓",ham
Get ahead with our diploma courses. 90% discount.,spam
Dreaming of paradise? Get a private island. Info inside.,spam
Discover untold wealth. Hidden treasures webinar.,spam
"Hey, it's been ages! How's life treating you?",ham
Congratulations! You've won a $1000 gift card! Claim now.,spam
New food truck in town. Wanna try?,ham
Stumbled upon our school yearbook. What a throwback!,ham
Secret to wealth unveiled! Learn more.,spam
Need to vent. HMU when you're free.,ham
Claim your free luxury handbag. Only today.,spam
"Turn $100 into $10,000! Discover how.",spam
Free tickets! Luxury cruise for two.,spam
Been thinking about our chat. Thanks for listening.,ham
"Congratulations! Claim your free $1,000 gift card.",spam
Find love now! Exclusive singles event.,spam
You left your umbrella in my car.,ham
VIP access to the biggest music fest.,spam
Unlock VIP treatment at every hotel worldwide.,spam
This new season is sick! Binge-watching now.,ham
Bored. Wanna grab a coffee?,ham
How's the online course? Worth the time?,ham
Unlock your dream body. No surgery needed.,spam
Those shoes you were eyeing? Sale alert!,ham
That recipe you shared? Total hit!,ham
Started watching the series you recommended. Hooked!,ham
Elite club memberships now open. Apply within.,spam
Melt belly fat overnight! Proven solution inside.,spam
"Ayy, finally beat that game level. Tips?",ham
"Fam, that BBQ was lit. Same time next week?",ham
Your dream home is just a click away. Unbelievable offers!,spam
Add inches with this proven method. Confidential.,spam
Warning! Your system is at risk. Click to protect now.,spam
A luxury car is waiting for you. Claim it.,spam
Congratulations! Claim your free iPhone now.,spam
Upgrade now! Special software will double your speed.,spam
How's the new pet? Settling in?,ham
Breaking! Stocks about to soar. Invest now.,spam
Sale alert! Massive discounts on fashion brands.,spam
Found a way to multiply money. Are you interested?,spam
Can you forward the minutes of the last meeting?,ham
"Yo, how's that new hobby coming along?",ham
Let's sign up for the charity run next month.,ham
Feeling lucky? Spin the wheel for instant prizes.,spam
Ready to become a star? Talent scouts waiting.,spam
Unleash your potential! Join our elite training program.,spam
Unbelievable! This miracle cream erases wrinkles.,spam
Your friend sent you money. Claim here.,spam
Bank error in your favor. Claim funds now.,spam
Your lucky day! Get a premium tarot reading.,spam
Think I saw your doppelganger today. Weird!,ham
That new café downtown? 10/10 recommend.,ham
How's the pet adoption going? Decided on a pup?,ham
I got promoted! Celebrations are in order.,ham
Stuck on that puzzle. Got any hints?,ham
🎉 The ultimate weight loss solution is here!,spam
Did you check out that new bar downtown?,ham
"Dude, that last episode? Mind blown!",ham
Found an amazing travel deal. Let's plan a trip!,ham
How's your new venture going? Need any help?,ham
"Mum's recipe for apple pie? Share, please!",ham
How's your garden? Blooming I bet!,ham
Can you babysit on Friday? We've got an appointment.,ham
Got any plans for the weekend?,ham
Improve your child's IQ. Enroll in our program.,spam
Ultimate gaming gear up for grabs. Participate to win.,spam
Double your money in a week. Guaranteed.,spam
Pre-approved car loan. Grab the deal now!,spam
Let's start that blog we always talked about.,ham
Wanna join me for yoga tomorrow morning?,ham
Last day! Claim your dream gadget at 80% off.,spam
Live stress-free! Secret mantra inside.,spam
Limited slots! Celebrity fitness challenge.,spam
I've started a new diet. Let's see how it goes.,ham
Remember that café? Let's revisit.,ham
Mad craving for fries. Join the sin?,ham
How's the little one? Pics please!,ham
Free on Sunday? Family brunch planned.,ham
Hey! Long time. Let's grab a coffee this week.,ham
Spotted your twin at the mall today. Or was it you?,ham
Attention! Your computer is compromised.,spam
"Turn $100 into $10,000 in days. Secret strategy revealed.",spam
Your snap from the beach. Jealous!,ham
Turn $100 into $5000! Trading secrets unveiled.,spam
"Man, I'm dead tired today. Pulling an all-nighter was a bad idea.",ham
Turn $1 into $100. Secret method revealed.,spam
Need cash? Unlock exclusive job opportunities.,spam
The fitness class was intense. Feeling it today!,ham
"Dude, that new game? Addicting af!",ham
What did the teacher say about tomorrow's field trip?,ham
Instant loan approval. Get cash now!,spam
Make thousands from home! Join our network today.,spam
Lost my phone and contacts. Can you text me your number again?,ham
New in town? Let's catch up!,ham
Love the new haircut! Where'd you get it done?,ham
Earn while you sleep! Passive income secrets.,spam
Just a reminder: you owe me for the concert tickets.,ham
Top celebrities swear by this skincare routine.,spam
"Girl, that shade of lipstick? Fab on you!",ham
"Ugh, can't believe it's Monday again.",ham
Haven't seen you at the gym. Everything cool?,ham
Let's have a picnic. I know a great spot.,ham
Best travel deals! Fly anywhere at a fraction of the cost.,spam
Last chance! Your gift card expires today.,spam
Reminder: Mom's birthday is next week.,ham
Visiting the museum tomorrow. Tag along?,ham
Craving our usual pizza night. Let's do it this weekend?,ham
Spice up your love life! Secrets revealed.,spam
"OMG, that party last night was wild!",ham
Found our old yearbook. Nostalgia!,ham
Do you remember where we kept the old photo albums?,ham
Hey! Long time. How's everything going on your end?,ham
The electricity's out. Can we crash at yours?,ham
Say goodbye to baldness. Hair miracle treatment available.,spam
Worried about hair loss? Miracle solution inside.,spam
Big news! This business idea is changing lives.,spam
Movie in the park this weekend. You coming?,ham
Don't forget our anniversary dinner tonight!,ham
Invest now! Turn $100 into $1000 overnight.,spam
Need a style makeover? Grab our fashion magazine.,spam
How’s your family? Send them my love.,ham
Be the ultimate chef. Culinary masterclass seats open.,spam
You think I should cut my hair short?,ham
Let's revisit that old diner. Craving nostalgia!,ham
Warning! Hackers are after you. Get protection now.,spam
Thinking of adopting a pet. Thoughts?,ham
Got a promotion! Let's celebrate this weekend.,ham
College reunion's next month. Got the invite?,ham
Lost my wallet. Can you spot me for lunch?,ham
"Binge-watched that show. No spoilers, but WOW.",ham
Remember our pact? Time for that tattoo?,ham
Surprise! You qualify for our diamond club. Join free.,spam
Flash sale! Designer bags at warehouse prices.,spam
Unlock the secret to eternal happiness. Webinar tonight.,spam
"Tbqh, I don't think that dress suits you.",ham
Be our VIP guest at the grand gala event.,spam
That new spot? It's a vibe. Date night?,ham
Want to be on TV? Casting calls for you.,spam
Ran into your cousin at the mall. Small world!,ham
Boost your stamina. Free trial pack inside.,spam
Your Spotify playlist is lit! Share more.,ham
Shocking truth! The government doesn't want you to know.,spam
Ever dreamt of becoming a model? Tap to start your journey.,spam
Exclusive offer! Sign up now and get a free gift.,spam
"Girl, you looked snatched at the club! Outfit deets, please?",ham
Limited edition! Get collector's items now.,spam
Boost your memory with our organic supplements.,spam
Dominate the business world. Elite coaching inside.,spam
Shopping spree? Some retail therapy is overdue.,ham
Can we reschedule? Something came up.,ham
Let's catch the sunset at the beach. Bliss!,ham
Learn a new language in 10 days. Proven course inside.,spam
Unlock your psychic powers. Free reading inside.,spam
Remember that book we both loved? They're making a movie out of it!,ham
Trying out a new restaurant. Want to come?,ham
Breaking! Weight loss miracle pill unveiled.,spam
Struggling in school? Instant tutors available.,spam
Your college friend's in town. Planning a meet-up?,ham
Ready for a glow-up? Book a free makeover session.,spam
Let's redo our high school bucket list. Thoughts?,ham
Been thinking about our old hangout spots. Fancy a trip down memory lane?,ham
You into podcasts? Found one that's dope.,ham
Confused about the future? Get a free consultation.,spam
Ready for a makeover? Free beauty session entry.,spam
"Sis, those shoes you wore yesterday? Need!",ham
The movie was great. Thanks for the recommendation.,ham
That DIY project you started? How's it going?,ham
"Unlock extreme weight loss! Natural pills, order now.",spam
Can't believe that happened. Gossip session soon?,ham
"Tbh, I didn't like the ending of that show.",ham
Your credit score is at risk. Get a free report now.,spam
Breaking! What doctors won't tell you about weight loss.,spam
Did you grab those concert tickets?,ham
Claim your jackpot! Lucky draw inside.,spam
Caught up in work. Let's talk later.,ham
Sale at the mall. Shopping this weekend?,ham
The teacher wants a parents' meet next Friday.,ham
No way! Just watched the latest episode. Mind blown!,ham
Learn to master the stock market. Premium course available.,spam
Dinner tomorrow? Heard about this new sushi place.,ham
Your dream car awaits! Minimal monthly payments.,spam
Warning! Pay your due tax now or face action.,spam
That scarf you wore yesterday was chic. Shop details?,ham
Fam's in town. Wanna join for a barbecue?,ham
Turn your art into cash. Exhibit in top galleries.,spam
Found your childhood toy in the attic. Memories?,ham
Breaking news! Scientists reveal health elixir. Buy now.,spam
Rare gemstones on sale! Boost your fortune.,spam
"Lol, just saw a car that looks just like yours.",ham
That movie was incredible. Thanks for recommending.,ham
Let's take a short trip next weekend.,ham
You game for some late-night gaming?,ham
Remember that beach trip? Good times!,ham
Your recent travel pics? Simply breathtaking.,ham
Shocking deals! Everything at $1. Shop before it's gone.,spam
Your path to fame. Attend our talent show.,spam
Planning a BBQ night. Are you game?,ham
Ready for fame? Talent hunt auditions in your city.,spam
Your DIY video? Tried it. Total success!,ham
The neighborhood's having a flea market. Interested?,ham
Let’s have a DIY day this weekend. Thoughts?,ham
Unlock unlimited streaming! Premium content at your fingertips.,spam
Dazzle with our newest jewelry collection. 70% off today.,spam
Private sale! Luxury items at a 95% discount.,spam
Let's do a movie marathon. Thoughts?,ham
Last chance! Update your details to avoid account closure.,spam
Your playlist is fire! Send me more song recs.,ham
Revolutionary skincare. Look 10 years younger!,spam
Struggling with hair loss? Miracle solution here.,spam
Last day! Sign up for the millionaire club.,spam
Feel younger! This miracle cream does wonders.,spam
"Omg, I'm craving those tacos. You in?",ham
Dying to try that new roller coaster. Join?,ham
Read that book you gave me. Let's discuss!,ham
Let's start a book club. Interested?,ham
"Instantly qualify for a $2,000 credit. No checks.",spam
Unlock youth! The latest anti-aging serums now available.,spam
Power cut here. How about your place?,ham
Drive your dream. Luxury car rentals now available.,spam
Review the attached report and provide feedback.,ham
Genuine love spells! Make anyone fall for you.,spam
I'll pick up the kids from school today. You can relax.,ham
Private event! Meet celebrities in person.,spam
Feel the rhythm. Dance studio introductory offers.,spam
Let's go for a picnic this weekend. Thoughts?,ham
Rare coins collection sale. Turn $10 to $1000.,spam
Become a millionaire! Try our proven trading strategy.,spam
Fancy a BBQ this weekend at mine?,ham
Scored tickets to the game. Joining?,ham
Protect your family. Amazing deals on insurance.,spam
Quick question: Got any book recommendations?,ham
Looking for adventure? Exotic travel packages inside.,spam
Spotted a cute dog café. We should totally go.,ham
That cafe you mentioned? Tried it. Loved it.,ham
Time to detox. Best juice cleanse offers.,spam
Last chance! Claim your free holiday package.,spam
"Random, but how do you tie a bowtie?",ham
Avoid bankruptcy. Get a financial makeover!,spam
Your dream car awaits. Unbelievable deals inside.,spam
Seriously need a vacation. Plans?,ham
Wanna join our book exchange club?,ham
Luxury brands at unbeatable prices. Shop now!,spam
Planning a garage sale. Interested in anything?,ham
Ultimate weight loss remedy. Doctors hate this.,spam
Relive history. Discounted tickets to world museums.,spam
Heard the local theater is showing classics. Joining?,ham
Get the millionaire lifestyle! Exclusive club invite.,spam
That DIY mask you mentioned? Share deets!,ham
Just passed by our old school. Nostalgia hit hard.,ham
Turn $10 into $1000! Proven methods revealed.,spam
Haven't seen you in ages. Coffee soon?,ham
Enhance your learning. Cognitive supplements on sale.,spam
How's the music class going? Show off some tunes soon?,ham
Feeling lucky? Play now and turn $1 into $1000.,spam
Let's do a weekend brunch. It's been ages!,ham
"Sup? Long time, no chat. Catch up?",ham
"Hey, I left my jacket in your car. Can I get it tomorrow?",ham
Capture moments. Discounts on photography courses.,spam
Craving sushi. Join?,ham
Live the high life! Exclusive penthouse listings.,spam
Click to claim your free headphones. Limited stock!,spam
Boost your drive! Try our natural supplement.,spam
Miracle drug! Rejuvenate your skin in minutes.,spam
Remember to pay the electricity bill by the 10th.,ham
Any good movie recommendations? In a binge mood.,ham
"You deserve better! Luxe products, slashed prices.",spam
"Bro, that new game is lit! You tried it?",ham
Borrowed your book. Hope that's okay.,ham
Get the body of your dreams. No exercise needed!,spam
Your DIY tips are amazing. Starting a blog?,ham
Gonna try going vegan. Tips?,ham
That yoga class you mentioned? I'm in.,ham
Invest in the future. Top-notch cryptocurrency guide inside.,spam
Missed call alert! 5 voicemails pending. Check here.,spam
Want to be Insta-famous? Click here.,spam
That new café downtown? Fancy a visit?,ham
Any idea where I left my charger?,ham
Want to be a model? Scouts are looking for you.,spam
How's the gardening going? Need tips.,ham
Saw a dog that looked just like yours!,ham
Secure your family's future. Exclusive insurance deals now.,spam
You're a winner! Free holiday for two awaits.,spam
Secure your spot! Millionaire success webinar.,spam
Erase your debt overnight. Find out how.,spam
Supercharge your libido. Natural solution inside.,spam
Save big! Home appliances at never-seen-before prices.,spam
Joining the community cleanup drive? Good initiative.,ham
Financial freedom in 10 steps! Exclusive guide.,spam
Say goodbye to baldness. Hair regrowth miracle inside.,spam
Simplify chores. Home automation discounts inside.,spam
Watch this! Secret video reveals how to get rich.,spam
Eliminate hair loss! Proven natural method inside.,spam
Spotted a cool workshop. Wanna sign up together?,ham
Beat the heat! Massive discount on air conditioners.,spam
Get the smile you deserve! Dental discounts inside.,spam
I'm so proud of you! Congrats on the promotion.,ham
Luxury spa day. Invite inside.,spam
The millionaire mindset. Webinar invite inside.,spam
Last chance! Enroll in our millionaire workshop.,spam
"Omg, guess who I bumped into today?",ham
Feel like a celeb! VIP treatment at a discount.,spam
That new place downtown? Overrated imo.,ham
Expand your network. Join the elite circle.,spam
The universe calls! Get a free horoscope reading.,spam
Dream of being famous? Auditions near you.,spam
Movie marathon at mine tomorrow. Classic 80s!,ham
Got the tickets for the exhibition. Can't wait!,ham
Remember our Sunday brunch tradition? Revive?,ham
Did you manage to find a good mechanic for your car?,ham
Boost your credit score instantly! Click to learn.,spam
Trivia night? We'd totally win!,ham
Exclusive invite! Star-studded event this weekend.,spam
Win big! Play now and change your life forever.,spam
Been thinking about you. Everything okay?,ham
Been ages! You still in town?,ham
Dive into wonder. Exclusive scuba training discounts.,spam
Having a girly night. Face masks and all. Joining?,ham
Taking a mental health day off. Catch up later?,ham
Rare gemstones sale! Increase your wealth.,spam
Limited time offer: Business courses from top tycoons.,spam
Spice up your evenings! Gourmet meal kits inside.,spam
Remember that joke from college? Still cracks me up.,ham
Flash sale alert! 24 hours only.,spam
Be debt-free! Financial restructuring plans available.,spam
Ready to be rich? Click for a secret investment.,spam
Got a new game. Wanna play tonight?,ham
Ready for 6-pack abs? Our program guarantees results.,spam
Financial freedom in 10 days! Get started.,spam
Please send over the presentation slides.,ham
This herbal tea can change your life. Try now.,spam
"Your dog was adorable in the recent pic. More, please!",ham
You up for a spontaneous trip?,ham
Alert! You're eligible for a huge tax refund.,spam
Was just reminiscing about our college days. We had some wild times!,ham
How's the online course? Worth the investment?,ham
Your order has been shipped. Delivery on Tuesday.,ham
Are you the next music sensation? Get scouted now.,spam
The new place is great! Housewarming soon.,ham
Eliminate all debts. Act fast!,spam
Be richer by tomorrow. Exclusive seminar.,spam
So stoked for the weekend! Got any plans?,ham
Can't believe we're graduating next month.,ham
"Just a heads up, running a bit late today.",ham
How did the interview go? Hope it was good.,ham
OMG! Hot celeb secrets exposed. Tap to spill the tea.,spam
Breaking! This stock will make you rich.,spam
Craving luxury? Exclusive mega sale on brands.,spam
Win a date with a celebrity. Enter now.,spam
You should visit the farmer's market. Fresh produce!,ham
Stay ahead of the game. Exclusive entrepreneur workshop.,spam
